iter,fitness,time,XPL,XPT,DIV
0,23117.0,0.016,100.0,0.0,0.451
1,14265.0,0.081,92.24,7.76,0.416
2,11885.0,0.082,90.47,9.53,0.408
3,11653.0,0.082,85.81,14.19,0.387
4,7916.0,0.085,92.9,7.1,0.419
5,5265.0,0.095,90.47,9.53,0.408
6,3435.0,0.092,94.68,5.32,0.427
7,3435.0,0.077,91.57,8.43,0.413
8,3435.0,0.1,94.01,5.99,0.424
9,3435.0,0.093,90.02,9.98,0.406
10,2553.0,0.088,89.58,10.42,0.404
11,2553.0,0.088,86.7,13.3,0.391
12,2553.0,0.073,86.47,13.53,0.39
13,2553.0,0.089,91.57,8.43,0.413
14,2553.0,0.108,79.6,20.4,0.359
15,2526.0,0.104,70.29,29.71,0.317
16,2526.0,0.106,69.84,30.16,0.315
17,2521.0,0.12,47.89,52.11,0.216
18,1683.0,0.126,47.89,52.11,0.216
19,1683.0,0.099,54.1,45.9,0.244
20,1683.0,0.119,46.78,53.22,0.211
21,1683.0,0.117,43.68,56.32,0.197
22,1529.0,0.111,43.68,56.32,0.197
23,1529.0,0.093,43.68,56.32,0.197
24,1529.0,0.087,45.01,54.99,0.203
25,1529.0,0.15,45.9,54.1,0.207
26,1529.0,0.137,43.68,56.32,0.197
27,1529.0,0.119,44.35,55.65,0.2
28,1398.0,0.132,42.13,57.87,0.19
29,1398.0,0.109,41.46,58.54,0.187
30,1398.0,0.136,39.47,60.53,0.178
31,1398.0,0.126,39.91,60.09,0.18
32,1391.0,0.162,36.81,63.19,0.166
33,995.0,0.171,28.82,71.18,0.13
34,995.0,0.144,29.27,70.73,0.132
35,979.0,0.164,23.06,76.94,0.104
36,918.0,0.253,20.4,79.6,0.092
37,705.0,0.154,23.5,76.5,0.106
38,702.0,0.145,23.5,76.5,0.106
39,702.0,0.181,21.73,78.27,0.098
40,702.0,0.167,19.73,80.27,0.089
41,687.0,0.169,16.19,83.81,0.073
42,584.0,0.211,16.85,83.15,0.076
43,500.0,0.193,13.08,86.92,0.059
44,478.0,0.194,10.64,89.36,0.048
45,472.0,0.196,8.87,91.13,0.04
46,472.0,0.208,8.87,91.13,0.04
47,470.0,0.186,9.09,90.91,0.041
48,470.0,0.204,7.32,92.68,0.033
49,470.0,0.308,5.54,94.46,0.025
50,470.0,0.215,3.55,96.45,0.016
51,458.0,0.233,2.88,97.12,0.013
52,448.0,0.275,2.66,97.34,0.012
53,448.0,0.263,2.44,97.56,0.011
54,448.0,0.273,2.22,97.78,0.01
55,448.0,0.251,1.77,98.23,0.008
56,448.0,0.252,1.33,98.67,0.006
57,447.0,0.223,0.89,99.11,0.004
58,447.0,0.288,1.33,98.67,0.006
59,446.0,0.27,1.55,98.45,0.007
