iter,fitness,time,XPL,XPT,DIV
0,96.0,0.016,100.0,0.0,0.445
1,80.0,0.029,92.36,7.64,0.411
2,76.0,0.026,85.39,14.61,0.38
3,76.0,0.024,80.67,19.33,0.359
4,76.0,0.026,81.12,18.88,0.361
5,76.0,0.023,82.25,17.75,0.366
6,76.0,0.024,92.58,7.42,0.412
7,76.0,0.03,91.24,8.76,0.406
8,76.0,0.031,78.88,21.12,0.351
9,76.0,0.035,81.8,18.2,0.364
10,76.0,0.03,83.15,16.85,0.37
11,76.0,0.025,76.63,23.37,0.341
12,76.0,0.031,84.04,15.96,0.374
13,76.0,0.028,81.57,18.43,0.363
14,76.0,0.031,84.27,15.73,0.375
15,76.0,0.028,84.72,15.28,0.377
16,75.0,0.025,80.22,19.78,0.357
17,75.0,0.025,76.18,23.82,0.339
18,75.0,0.035,80.9,19.1,0.36
19,74.0,0.033,76.63,23.37,0.341
20,74.0,0.025,77.53,22.47,0.345
21,74.0,0.028,83.6,16.4,0.372
22,74.0,0.028,78.2,21.8,0.348
23,74.0,0.028,83.82,16.18,0.373
24,73.0,0.032,82.92,17.08,0.369
25,73.0,0.026,75.51,24.49,0.336
26,72.0,0.029,84.72,15.28,0.377
27,69.0,0.034,80.9,19.1,0.36
28,69.0,0.033,82.7,17.3,0.368
29,69.0,0.039,80.22,19.78,0.357
30,68.0,0.033,81.12,18.88,0.361
31,68.0,0.029,86.07,13.93,0.383
32,68.0,0.034,83.37,16.63,0.371
33,68.0,0.038,80.9,19.1,0.36
34,68.0,0.039,83.82,16.18,0.373
